,location,total_sqft,bath,price,bhk
2370,Electronics City Phase 1,1190.0,2.0,68.0,2
2372,Electronics City Phase 1,1450.0,3.0,72.54,3
2373,Electronics City Phase 1,360.0,1.0,16.9,1
2374,Electronics City Phase 1,638.0,1.0,32.0,1
2375,Electronics City Phase 1,1175.0,2.0,64.98,2
2376,Electronics City Phase 1,585.0,1.0,21.0,1
2377,Electronics City Phase 1,1200.0,2.0,59.76,2
2378,Electronics City Phase 1,1145.0,2.0,54.0,2
2379,Electronics City Phase 1,1125.0,2.0,65.0,2
2381,Electronics City Phase 1,1550.0,2.0,82.0,3
2383,Electronics City Phase 1,865.0,2.0,40.0,2
2387,Electronics City Phase 1,1800.0,3.0,93.0,3
2388,Electronics City Phase 1,1314.0,2.0,60.0,2
2389,Electronics City Phase 1,1170.0,2.0,62.0,2
2390,Electronics City Phase 1,1450.0,3.0,79.0,3
2391,Electronics City Phase 1,940.0,2.0,48.0,2
2392,Electronics City Phase 1,940.0,2.0,44.0,2
2393,Electronics City Phase 1,1300.0,2.0,67.0,2
2394,Electronics City Phase 1,1028.0,2.0,51.0,2
2396,Electronics City Phase 1,1205.0,2.0,60.0,2
2398,Electronics City Phase 1,1305.0,2.0,67.0,2
2399,Electronics City Phase 1,755.0,1.0,30.12,1
2400,Electronics City Phase 1,1175.0,2.0,60.0,2
2401,Frazer Town,1700.0,3.0,180.0,3
2402,Frazer Town,1305.0,3.0,95.45,3
2403,Frazer Town,1870.0,3.0,185.0,3
2404,Frazer Town,1750.0,3.0,150.0,3
2406,Frazer Town,2000.0,3.0,200.0,3
2407,Frazer Town,3500.0,4.0,330.0,3
2408,Frazer Town,2350.0,4.0,285.0,3
2409,Frazer Town,1550.0,2.0,140.0,2
2410,Frazer Town,1900.0,4.0,145.0,3
2411,Frazer Town,2560.0,3.0,265.0,3
2412,Frazer Town,2400.0,3.0,260.0,3
2413,Frazer Town,2560.0,3.0,288.0,3
2414,Frazer Town,3436.0,5.0,341.0,4
2416,Frazer Town,1315.0,2.0,140.0,2
2417,Frazer Town,1706.0,3.0,154.0,3
2418,Frazer Town,2079.0,3.0,220.0,3
2419,Frazer Town,3435.0,2.0,341.0,4
2420,Frazer Town,3436.0,5.0,345.0,4
2421,Frazer Town,3100.0,3.0,400.0,3
2422,Frazer Town,5400.0,3.0,400.0,3
2423,Frazer Town,1180.0,2.0,105.0,2
2424,Frazer Town,2900.0,4.0,325.0,4
2425,Frazer Town,1870.0,3.0,180.0,3
2426,Frazer Town,896.0,1.0,100.0,1
2427,Frazer Town,1420.0,2.0,120.0,2
2428,GM Palaya,1820.0,2.0,86.0,3
2429,GM Palaya,1225.0,2.0,47.0,2
2430,GM Palaya,1140.0,2.0,48.95,2
2431,GM Palaya,1315.0,2.0,65.0,3
2432,GM Palaya,1315.0,3.0,65.0,3
2433,GM Palaya,1315.0,3.0,64.0,3
2434,GM Palaya,1735.0,3.0,70.0,3
2435,GM Palaya,1643.0,2.0,70.0,3
2436,Ganga Nagar,600.0,1.0,38.0,1
2437,Ganga Nagar,845.0,2.0,55.0,2
2438,Ganga Nagar,1112.0,2.0,68.0,2
2439,Ganga Nagar,998.0,2.0,65.0,2
2440,Ganga Nagar,1250.0,2.0,65.0,2
2441,Garudachar Palya,1325.0,2.0,60.8,3
2442,Garudachar Palya,1060.0,2.0,48.7,2
2443,Garudachar Palya,1150.0,2.0,52.75,2
2444,Garudachar Palya,1295.0,2.0,59.5,3
2445,Garudachar Palya,1320.0,2.0,60.6,3
2446,Garudachar Palya,1295.0,2.0,59.5,3
2447,Garudachar Palya,1150.0,2.0,52.8,2
2448,Garudachar Palya,1150.0,2.0,52.8,2
2449,Garudachar Palya,1060.0,2.0,48.5,2
2450,Garudachar Palya,1150.0,2.0,52.5,2
2451,Garudachar Palya,1325.0,2.0,60.8,3
2452,Garudachar Palya,1060.0,2.0,48.66,2
2453,Garudachar Palya,1150.0,2.0,52.0,2
2454,Garudachar Palya,1154.0,2.0,51.8,2
2456,Giri Nagar,2400.0,4.0,400.0,4
2457,Giri Nagar,1800.0,3.0,252.0,3
2458,Giri Nagar,1350.0,3.0,240.0,3
2459,Giri Nagar,2400.0,4.0,400.0,4
2460,Giri Nagar,3000.0,4.0,375.0,6
2461,Giri Nagar,2400.0,6.0,400.0,6
2462,Giri Nagar,4000.0,3.0,750.0,4
2463,Gollarapalya Hosahalli,861.0,2.0,34.5,2
2464,Gollarapalya Hosahalli,1408.0,3.0,62.0,3
2465,Gollarapalya Hosahalli,861.0,2.0,34.5,2
2466,Gollarapalya Hosahalli,1318.0,3.0,54.0,3
2467,Gollarapalya Hosahalli,861.0,2.0,36.5,2
2468,Gollarapalya Hosahalli,1320.0,3.0,60.0,3
2469,Gollarapalya Hosahalli,1345.0,3.0,60.0,3
2470,Gollarapalya Hosahalli,1905.0,3.0,86.0,4
2471,Gollarapalya Hosahalli,1318.0,3.0,56.0,3
2472,Gollarapalya Hosahalli,1129.0,2.0,50.0,2
2473,Gottigere,1100.0,2.0,40.0,2
2474,Gottigere,967.0,2.0,45.0,2
2475,Gottigere,1618.0,3.0,82.5,3
2476,Gottigere,1222.0,2.0,63.0,2
2478,Gottigere,1300.0,3.0,65.0,3
2479,Gottigere,950.0,2.0,38.0,2
2480,Gottigere,1153.0,2.0,48.5,2
2481,Gottigere,812.0,1.0,26.0,1
2483,Gottigere,1460.0,2.0,65.0,3
2484,Gottigere,1500.0,3.0,70.0,3
2485,Gottigere,1621.0,3.0,72.0,3
2486,Gottigere,812.0,1.0,26.0,1
2487,Gottigere,990.0,2.0,40.0,2
2488,Gottigere,1235.0,2.0,63.0,2
2489,Gottigere,1385.0,3.0,64.0,3
2490,Gottigere,1000.0,2.0,35.0,2
2491,Gottigere,1010.0,2.0,35.0,2
2494,Gottigere,1435.0,2.0,62.0,3
2495,Gottigere,945.0,2.0,45.0,2
2497,Gottigere,2500.0,3.0,120.0,4
2498,Gottigere,1230.0,2.0,52.0,3
2499,Gottigere,1120.0,2.0,50.0,2
2500,Gottigere,1500.0,3.0,63.0,3
2501,Gottigere,1200.0,2.0,40.0,2
2502,Gottigere,1280.0,2.0,61.0,2
2503,Gottigere,1205.0,2.0,56.58,2
2504,Gottigere,1170.0,2.0,40.0,2
2505,Gottigere,3000.0,3.0,132.0,4
2506,Gottigere,1613.0,3.0,72.0,3
2507,Gottigere,1110.0,2.0,36.25,2
2508,Gottigere,1245.0,2.0,59.0,2
2509,Gottigere,1200.0,2.0,50.0,2
2510,Green Glen Layout,1670.0,3.0,120.0,3
2511,Green Glen Layout,3250.0,4.0,230.0,4
2512,Green Glen Layout,1776.42,3.0,105.0,3
2513,Green Glen Layout,3250.0,4.0,230.0,4
2514,Green Glen Layout,940.0,2.0,56.8,2
2515,Green Glen Layout,1075.0,2.0,60.0,2
2516,Green Glen Layout,1715.0,3.0,115.0,3
2517,Green Glen Layout,1751.0,2.0,115.0,3
2518,Green Glen Layout,1750.0,3.0,130.0,3
2519,Green Glen Layout,1530.0,3.0,105.0,3
2520,Green Glen Layout,1752.0,3.0,105.0,3
2521,Green Glen Layout,1680.0,4.0,95.0,3
2522,Green Glen Layout,1728.0,3.0,125.0,3
2523,Green Glen Layout,1645.0,3.0,110.0,3
2524,Green Glen Layout,1517.0,3.0,100.0,3
2525,Green Glen Layout,3150.0,4.0,218.0,4
2527,Green Glen Layout,1750.0,3.0,120.0,3
2528,Green Glen Layout,1751.0,3.0,115.0,3
2529,Green Glen Layout,1750.0,3.0,105.0,3
2530,Green Glen Layout,1885.0,3.0,135.0,3
2531,Green Glen Layout,1715.0,3.0,120.0,3
2532,Green Glen Layout,1623.29,2.0,105.0,3
2533,Green Glen Layout,1715.0,3.0,115.0,3
2534,Green Glen Layout,1715.0,3.0,105.0,3
2535,Green Glen Layout,1600.0,3.0,105.0,3
2536,Green Glen Layout,1717.0,3.0,125.0,3
2537,Green Glen Layout,1250.0,2.0,75.0,2
2538,Green Glen Layout,1715.0,3.0,112.0,3
2539,Gubbalala,1470.0,2.0,82.0,3
2540,Gubbalala,1745.0,3.0,104.0,3
2541,Gubbalala,1745.0,3.0,115.0,3
2542,Gubbalala,1745.0,3.0,110.0,3
2543,Gubbalala,1650.0,3.0,71.0,3
2544,Gubbalala,2570.0,4.0,141.0,5
2545,Gubbalala,1205.0,2.0,70.0,2
2546,Gubbalala,1435.0,2.0,80.0,3
2547,Gubbalala,1475.0,2.0,80.0,2
2549,Gubbalala,1100.0,2.0,49.5,2
2550,Gubbalala,1060.0,2.0,46.0,2
2551,Gubbalala,2000.0,3.0,125.0,3
2553,Gunjur,1140.0,2.0,43.0,2
2554,Gunjur,1356.0,2.0,66.0,3
2555,Gunjur,1600.0,3.0,75.0,3
2556,Gunjur,2000.0,3.0,95.0,4
2557,Gunjur,1140.0,2.0,49.11,2
2558,Gunjur,1195.0,2.0,44.0,2
2559,Gunjur,1190.0,2.0,40.0,2
2560,Gunjur,1457.0,2.0,60.0,2
2561,Gunjur,1080.0,2.0,41.0,2
2564,Gunjur,1175.0,2.0,43.48,2
2565,Gunjur,1362.0,3.0,62.63,3
2566,Gunjur,1071.0,2.0,51.0,2
2567,Gunjur,1063.0,2.0,40.0,2
2568,Gunjur,1235.0,2.0,52.76,2
2569,Gunjur,1362.0,3.0,62.63,3
2570,Gunjur,1362.0,3.0,62.63,3
2571,Gunjur,1588.0,2.0,90.0,3
2572,Gunjur,1235.0,2.0,44.5,2
2573,Gunjur,1457.0,2.0,60.0,2
2574,Gunjur Palya,1050.0,2.0,43.0,2
2575,Gunjur Palya,1033.0,2.0,32.0,3
2576,Gunjur Palya,1400.0,3.0,45.0,3
2577,Gunjur Palya,993.0,2.0,42.0,2
2578,Gunjur Palya,1235.0,2.0,52.76,2
2579,HAL 2nd Stage,1490.0,2.0,300.0,3
2580,HAL 2nd Stage,600.0,3.0,145.0,2
2581,HAL 2nd Stage,2700.0,3.0,500.0,3
2582,HAL 2nd Stage,2040.0,4.0,500.0,5
2583,HBR Layout,2800.0,2.0,200.0,3
2584,HBR Layout,1722.0,3.0,95.0,3
2585,HBR Layout,1200.0,4.0,120.0,4
2586,HBR Layout,1200.0,2.0,60.0,2
2587,HBR Layout,1004.0,2.0,49.0,2
2588,HBR Layout,1783.0,3.0,125.0,3
2589,HBR Layout,1656.0,3.0,90.0,3
2590,HBR Layout,1089.0,2.0,60.0,2
2591,HBR Layout,1700.0,3.0,110.0,3
2592,HBR Layout,1198.0,2.0,65.0,2
2593,HBR Layout,1200.0,4.0,115.0,4
2594,HBR Layout,1200.0,2.0,120.0,2
2595,HBR Layout,1832.0,3.0,160.0,3
2596,HRBR Layout,1374.0,2.0,95.0,2
2597,HRBR Layout,1440.0,2.0,98.0,2
2599,HRBR Layout,2800.0,3.0,250.0,3
2600,HRBR Layout,1210.0,2.0,75.0,2
2601,HRBR Layout,1265.0,2.0,78.0,2
2602,HRBR Layout,1170.0,2.0,75.0,2
2604,HRBR Layout,1900.0,3.0,90.0,4
2605,HRBR Layout,1625.0,3.0,120.0,3
2606,HRBR Layout,1301.0,2.0,120.0,2
2607,HRBR Layout,1145.0,2.0,68.5,2
2608,HRBR Layout,1300.0,2.0,90.0,2
2610,HSR Layout,1372.0,2.0,68.0,2
2612,HSR Layout,1475.0,3.0,75.0,3
2613,HSR Layout,1467.0,2.0,55.0,2
2614,HSR Layout,1140.0,2.0,46.0,2
2615,HSR Layout,1372.0,2.0,61.0,2
2616,HSR Layout,1750.0,3.0,95.0,3
2618,HSR Layout,1027.0,2.0,44.0,2
2619,HSR Layout,1650.0,3.0,110.0,3
2620,HSR Layout,1140.0,2.0,46.0,2
2621,HSR Layout,1372.0,2.0,61.0,2
2622,HSR Layout,1140.0,2.0,46.0,2
2623,HSR Layout,1185.0,2.0,60.0,2
2624,HSR Layout,1127.0,2.0,68.0,2
2625,HSR Layout,1600.0,2.0,115.0,3
2626,HSR Layout,1145.0,2.0,48.0,2
2627,HSR Layout,1009.0,2.0,56.0,2
2628,HSR Layout,1300.0,2.0,98.0,2
2630,HSR Layout,1140.0,2.0,46.0,2
2631,HSR Layout,1126.0,2.0,69.0,2
2633,HSR Layout,1140.0,2.0,46.0,2
2634,HSR Layout,1145.0,2.0,46.0,2
2635,HSR Layout,1142.0,2.0,65.0,2
2636,HSR Layout,1145.0,2.0,46.0,2
2637,HSR Layout,1844.0,3.0,95.0,3
2638,HSR Layout,1203.0,2.0,72.0,2
2639,HSR Layout,1140.0,2.0,46.0,2
2640,HSR Layout,4200.0,5.0,245.0,5
2641,HSR Layout,1140.0,2.0,46.0,2
2642,HSR Layout,1145.0,2.0,46.0,2
2643,HSR Layout,1009.0,2.0,56.0,2
2644,HSR Layout,1145.0,2.0,46.0,2
2645,HSR Layout,1100.0,2.0,44.0,2
2646,HSR Layout,1203.0,2.0,60.0,2
2647,HSR Layout,1120.0,2.0,70.0,2
2648,HSR Layout,1140.0,2.0,46.0,2
2649,HSR Layout,1289.0,2.0,70.0,2
2650,HSR Layout,1844.0,3.0,89.0,3
2651,HSR Layout,1203.0,2.0,60.0,2
2652,HSR Layout,1140.0,2.0,46.0,2
2653,Haralur Road,1240.0,2.0,70.0,2
2654,Haralur Road,1027.0,2.0,44.0,2
2657,Haralur Road,1194.0,2.0,47.0,2
2658,Haralur Road,1202.0,2.0,53.0,2
2659,Haralur Road,1056.0,2.0,61.0,2
2661,Haralur Road,1810.0,3.0,100.0,3
2662,Haralur Road,1194.0,2.0,46.0,2
2664,Haralur Road,1225.0,2.0,67.38,2
2665,Haralur Road,1243.0,2.0,46.0,2
2666,Haralur Road,1027.0,2.0,44.0,2
2667,Haralur Road,1920.0,3.0,115.0,3
2668,Haralur Road,1875.0,3.0,110.0,3
2669,Haralur Road,1194.0,2.0,47.0,2
2670,Haralur Road,1140.0,2.0,43.0,2
2671,Haralur Road,1027.0,2.0,44.0,2
2672,Haralur Road,1194.0,2.0,46.0,2
2673,Haralur Road,2017.0,3.0,125.0,3
2674,Haralur Road,1140.0,2.0,43.0,2
2675,Haralur Road,1875.0,3.0,110.0,3
2676,Haralur Road,1092.0,2.0,44.0,2
2677,Haralur Road,2475.0,4.0,130.0,3
2678,Haralur Road,1300.0,2.0,73.0,2
2679,Haralur Road,1194.0,2.0,47.0,2
2680,Haralur Road,1243.0,2.0,46.0,2
2681,Haralur Road,1850.0,3.0,110.0,3
2682,Haralur Road,1225.0,2.0,67.38,2
2683,Haralur Road,1243.0,2.0,46.0,2
2684,Haralur Road,3400.0,5.0,240.0,4
2685,Haralur Road,1464.0,2.0,56.0,2
2686,Haralur Road,1230.0,2.0,78.0,2
2687,Haralur Road,1000.0,2.0,44.0,2
2689,Haralur Road,1300.0,2.0,79.0,2
2690,Haralur Road,1444.0,2.0,80.0,3
2691,Haralur Road,1088.0,2.0,68.0,2
2692,Haralur Road,1027.0,2.0,44.0,2
2694,Haralur Road,1225.0,2.0,70.0,2
2696,Haralur Road,1194.0,2.0,46.0,2
2697,Haralur Road,1830.0,3.0,101.0,3
2698,Haralur Road,1810.0,3.0,126.0,3
2699,Haralur Road,1464.0,2.0,56.0,2
2700,Haralur Road,1520.0,2.0,96.0,3
2701,Haralur Road,1300.0,2.0,75.0,2
2702,Haralur Road,2017.0,2.0,125.0,3
2703,Haralur Road,1243.0,2.0,46.0,2
2704,Haralur Road,1027.0,2.0,44.0,2
2705,Haralur Road,2805.0,5.0,160.0,4
2706,Haralur Road,1243.0,2.0,46.0,2
2707,Haralur Road,1027.0,2.0,44.0,2
2708,Haralur Road,2017.0,3.0,105.0,3
2709,Haralur Road,1243.0,2.0,46.0,2
2710,Haralur Road,1243.0,2.0,46.0,2
2711,Haralur Road,1520.0,2.0,90.0,3
2712,Haralur Road,1300.0,2.0,60.0,2
2713,Haralur Road,1985.0,3.0,130.0,3
2714,Haralur Road,1255.0,2.0,90.0,3
2715,Haralur Road,1056.0,2.0,60.0,2
2716,Haralur Road,1140.0,2.0,42.0,2
2717,Haralur Road,1245.0,2.0,62.0,2
2718,Haralur Road,1140.0,2.0,58.0,2
2719,Haralur Road,1140.0,2.0,42.0,2
2720,Haralur Road,1027.0,2.0,43.0,2
2721,Haralur Road,1194.0,2.0,47.0,2
2722,Haralur Road,1194.0,2.0,47.0,2
2723,Haralur Road,1560.0,3.0,90.0,3
2724,Haralur Road,1520.0,2.0,85.0,3
2725,Haralur Road,1243.0,2.0,45.0,2
2726,Haralur Road,1027.0,2.0,44.0,2
2727,Haralur Road,1194.0,2.0,46.0,2
2728,Haralur Road,1650.0,3.0,100.0,3
2729,Haralur Road,1580.0,3.0,73.0,3
2730,Haralur Road,1243.0,2.0,46.0,2
2731,Haralur Road,1194.0,2.0,47.0,2
2733,Haralur Road,1520.0,2.0,96.0,3
2734,Haralur Road,1510.0,3.0,83.05,3
2735,Haralur Road,1056.0,2.0,65.0,2
2736,Haralur Road,1810.0,3.0,100.0,3
2737,Haralur Road,1243.0,2.0,46.0,2
2738,Haralur Road,575.0,1.0,38.0,1
2739,Haralur Road,1194.0,2.0,46.0,2
2740,Haralur Road,1243.0,2.0,46.0,2
2741,Haralur Road,1194.0,2.0,46.0,2
2742,Haralur Road,1140.0,2.0,43.0,2
2743,Haralur Road,1850.0,3.0,120.0,3
2744,Haralur Road,1194.0,2.0,47.0,2
2745,Haralur Road,1194.0,2.0,47.0,2
2747,Haralur Road,1243.0,2.0,46.0,2
2748,Haralur Road,1710.0,3.0,85.0,3
2749,Haralur Road,1730.0,3.0,95.0,3
2750,Haralur Road,1243.0,2.0,46.0,2
2751,Haralur Road,1243.0,2.0,46.0,2
2752,Haralur Road,1243.0,2.0,46.0,2
2753,Haralur Road,1817.0,3.0,110.0,3
2754,Haralur Road,1225.0,2.0,77.0,2
2755,Haralur Road,1285.0,2.0,78.0,2
2756,Haralur Road,1225.0,2.0,67.48,2
2757,Haralur Road,1225.0,2.0,69.84,2
2758,Haralur Road,1200.0,2.0,46.0,2
2759,Haralur Road,1315.0,2.0,85.0,2
2760,Haralur Road,1976.0,3.0,92.0,3
2761,Haralur Road,1300.0,2.0,75.0,2
2762,Haralur Road,1309.0,2.0,82.0,2
2763,Haralur Road,1027.0,1.0,44.0,2
2764,Haralur Road,1243.0,2.0,46.0,2
2765,Haralur Road,1243.0,2.0,46.0,2
2766,Haralur Road,1140.0,2.0,43.0,2
2767,Haralur Road,1300.0,2.0,75.0,2
2768,Haralur Road,1243.0,2.0,46.0,2
2769,Haralur Road,1890.0,3.0,84.0,3
2770,Haralur Road,1230.0,2.0,67.65,2
2771,Haralur Road,1194.0,2.0,46.0,2
2772,Haralur Road,1092.0,2.0,44.0,2
2774,Haralur Road,1255.0,3.0,90.0,3
2775,Haralur Road,1735.0,3.0,97.0,3
2776,Haralur Road,1810.0,3.0,97.83,3
2777,Haralur Road,1200.0,2.0,46.0,2
2778,Haralur Road,1243.0,2.0,46.0,2
2779,Haralur Road,1810.0,3.0,112.0,3
2780,Harlur,1508.0,2.0,77.0,2
2781,Harlur,1752.12,3.0,135.0,3
2784,Harlur,1709.0,3.0,150.0,3
2785,Harlur,1174.0,2.0,69.0,2
2786,Harlur,1033.0,2.0,49.0,2
2787,Harlur,1197.0,2.0,84.0,2
2788,Harlur,1757.0,3.0,132.0,3
2789,Harlur,1174.0,2.0,76.0,2
2790,Harlur,1754.0,3.0,125.0,3
2791,Harlur,1290.0,2.0,85.0,2
2792,Harlur,1752.12,3.0,116.0,3
2793,Harlur,1754.0,3.0,135.0,3
2794,Harlur,1754.0,3.0,124.0,3
2795,Harlur,1152.0,2.0,69.0,2
2796,Harlur,1290.0,2.0,87.0,2
2797,Harlur,1749.0,3.0,115.0,3
2798,Harlur,3385.0,4.0,260.0,4
2799,Harlur,2240.0,5.0,155.0,3
2800,Harlur,1758.0,3.0,133.0,3
2802,Harlur,1197.0,2.0,79.0,2
2803,Harlur,1174.0,2.0,78.0,2
2806,Harlur,1200.0,2.0,52.0,2
2807,Harlur,1197.0,2.0,79.0,2
2808,Harlur,1749.0,3.0,112.0,3
2809,Harlur,1174.0,2.0,75.0,2
2810,Harlur,1750.0,3.0,136.0,3
2811,Harlur,1620.0,3.0,110.0,3
2814,Harlur,1762.0,3.0,133.0,3
2815,Harlur,1756.0,3.0,131.0,3
2816,Harlur,1755.0,3.0,130.0,3
2817,Harlur,1864.0,3.0,140.0,3
2818,Harlur,1331.0,2.0,88.0,2
2819,Harlur,1752.12,3.0,133.0,3
2820,Harlur,1133.0,2.0,55.0,2
2821,Harlur,1756.0,3.0,128.0,3
2822,Harlur,1749.0,3.0,120.0,3
2823,Harlur,1197.0,2.0,82.0,2
2824,Harlur,1303.0,2.0,90.0,2
2825,Harlur,1754.0,3.0,132.0,3
2826,Harlur,1174.0,2.0,75.0,2
2827,Harlur,1756.0,3.0,134.0,3
2828,Harlur,1197.0,2.0,78.0,2
2829,Harlur,1290.0,2.0,89.9,2
2830,Harlur,1386.0,2.0,85.0,2
2831,Harlur,1174.0,2.0,74.0,2
2832,Harlur,1174.0,2.0,78.0,2
2834,Harlur,1755.0,3.0,115.0,3
2836,Harlur,2569.0,4.0,175.0,4
2838,Harlur,1197.0,2.0,77.0,2
2839,Harlur,1752.12,3.0,125.0,3
2840,Harlur,2569.0,5.0,180.0,4
2841,Harlur,1225.0,2.0,56.0,2
2842,Harlur,1197.0,2.0,76.0,2
2844,Harlur,1197.0,2.0,75.0,2
2845,Harlur,1755.0,3.0,117.0,3
2846,Harlur,1197.0,2.0,79.9,2
2847,Harlur,936.0,2.0,45.0,2
2848,Harlur,2990.0,4.0,225.0,4
2849,Harlur,1370.0,2.0,88.0,2
2850,Harlur,1335.0,2.0,72.76,2
2851,Hebbal,1760.0,2.0,123.0,3
2852,Hebbal,5611.5,4.0,477.0,4
2854,Hebbal,1349.0,2.0,98.2,2
2855,Hebbal,2483.0,5.0,212.0,4
2856,Hebbal,1760.0,2.0,130.0,3
2857,Hebbal,3450.0,5.0,260.0,3
2858,Hebbal,1920.0,3.0,134.0,3
2859,Hebbal,1337.0,2.0,82.0,2
2860,Hebbal,1349.0,2.0,98.0,2
2863,Hebbal,1790.0,3.0,127.0,3
2864,Hebbal,687.325,2.0,42.72,2
2866,Hebbal,1985.0,4.0,189.0,3
2867,Hebbal,2483.0,5.0,215.0,4
2868,Hebbal,1080.0,2.0,54.0,2
2869,Hebbal,812.0,2.0,55.0,2
2871,Hebbal,3067.0,4.0,230.0,4
2872,Hebbal,2526.0,2.0,250.0,3
2873,Hebbal,3067.0,4.0,230.0,4
2875,Hebbal,823.0,2.0,50.63,2
2876,Hebbal,1420.0,2.0,123.0,2
2878,Hebbal,1420.0,2.0,99.39,2
2879,Hebbal,4235.0,4.0,365.0,4
2880,Hebbal,1700.0,3.0,124.0,3
2881,Hebbal,3960.0,5.0,386.0,4
2882,Hebbal,1420.0,2.0,99.39,2
2884,Hebbal,1440.0,2.0,115.0,2
2885,Hebbal,1100.0,2.0,54.0,2
2887,Hebbal,2400.0,4.0,180.0,3
2889,Hebbal,1420.0,2.0,107.0,2
2890,Hebbal,1320.0,2.0,92.0,2
2891,Hebbal,919.0,2.0,49.0,2
2892,Hebbal,1645.0,3.0,135.0,3
2893,Hebbal,2080.0,3.0,175.0,3
2895,Hebbal,2483.0,5.0,230.0,4
2896,Hebbal,2600.0,3.0,195.0,3
2897,Hebbal,1645.0,3.0,117.0,3
2898,Hebbal,1251.0,2.0,88.73,2
2899,Hebbal,1645.0,3.0,121.0,3
2900,Hebbal,1760.0,3.0,123.0,3
2902,Hebbal,3960.0,5.0,386.0,4
2903,Hebbal,1645.0,3.0,120.0,3
2904,Hebbal,1255.0,2.0,90.0,3
2905,Hebbal,1645.0,3.0,117.0,3
2908,Hebbal,1636.0,3.0,119.0,3
2909,Hebbal,2661.0,2.0,226.5,3
2910,Hebbal,1255.0,2.0,95.0,3
2913,Hebbal,1255.0,2.0,95.0,3
2914,Hebbal,1088.0,2.0,61.45,2
2915,Hebbal,1349.0,2.0,97.8,2
2917,Hebbal,1344.0,2.0,108.0,2
2918,Hebbal,1255.0,2.0,90.0,3
2920,Hebbal,1138.0,2.0,110.0,2
2921,Hebbal,2790.0,5.0,204.0,4
2922,Hebbal,1088.0,2.0,62.0,2
2923,Hebbal,1987.0,4.0,165.0,3
2925,Hebbal,1299.0,2.0,100.0,2
2926,Hebbal,1200.0,2.0,60.0,2
2927,Hebbal,1645.0,3.0,117.0,3
2928,Hebbal,1390.0,2.0,95.0,2
2929,Hebbal,1333.0,2.0,100.0,2
2931,Hebbal,2650.0,4.0,199.0,3
2932,Hebbal,1800.0,3.0,140.0,3
2934,Hebbal,2470.0,4.0,203.0,4
2935,Hebbal,1255.0,2.0,95.0,3
2936,Hebbal,1333.0,2.0,104.0,2
2937,Hebbal,1645.0,3.0,117.0,3
2938,Hebbal,2600.0,3.0,199.0,3
2939,Hebbal,1345.0,2.0,97.0,2
2941,Hebbal,985.0,2.0,62.0,2
2942,Hebbal,1320.0,2.0,91.0,2
2943,Hebbal,2388.0,3.0,195.0,3
2944,Hebbal,1040.0,2.0,55.0,2
2946,Hebbal,2600.0,3.0,195.0,3
2947,Hebbal,2630.0,5.0,188.0,4
2949,Hebbal,1645.0,3.0,113.0,3
2951,Hebbal,1420.0,2.0,99.39,2
2953,Hebbal,3520.0,5.0,320.0,3
2954,Hebbal,1162.0,2.0,69.0,2
2955,Hebbal,1100.0,2.0,60.0,2
2956,Hebbal,4235.0,5.0,364.0,4
2957,Hebbal,1299.0,2.0,97.0,2
2959,Hebbal,2470.0,5.0,192.0,4
2960,Hebbal,1645.0,3.0,117.0,3
2961,Hebbal,1920.0,3.0,134.0,3
2962,Hebbal,3520.0,5.0,240.0,3
2963,Hebbal,1920.0,3.0,150.0,3
2964,Hebbal,2375.0,4.0,189.0,4
2965,Hebbal,1420.0,2.0,99.26,2
2966,Hebbal,1252.0,2.0,92.0,2
2968,Hebbal,1162.0,2.0,59.0,2
2969,Hebbal,1294.0,2.0,115.0,2
2970,Hebbal,4225.0,6.0,359.0,4
2971,Hebbal,1150.0,2.0,57.0,2
2972,Hebbal,1740.0,2.0,137.0,3
2974,Hebbal,1662.0,3.0,155.0,3
2975,Hebbal,2250.0,3.0,219.0,3
2976,Hebbal,1349.0,2.0,98.0,2
2977,Hebbal,4000.0,6.0,370.0,4
2978,Hebbal,1349.0,2.0,96.8,2
2979,Hebbal Kempapura,1700.0,3.0,155.0,3
2980,Hebbal Kempapura,1800.0,3.0,175.0,3
2981,Hebbal Kempapura,2900.0,4.0,300.0,3
2982,Hebbal Kempapura,3522.0,3.0,380.0,3
2983,Hebbal Kempapura,2280.0,5.0,200.0,5
2984,Hebbal Kempapura,1200.0,2.0,125.0,2
2985,Hebbal Kempapura,2900.0,4.0,240.0,3
2987,Hebbal Kempapura,1300.0,2.0,102.0,2
2988,Hebbal Kempapura,1466.0,2.0,140.0,3
2990,Hebbal Kempapura,1725.0,2.0,165.0,3
2991,Hebbal Kempapura,1200.0,3.0,125.0,3
2992,Hebbal Kempapura,3408.0,3.0,260.0,3
2993,Hebbal Kempapura,1485.0,3.0,132.0,2
2994,Hebbal Kempapura,1400.0,2.0,108.0,2
2995,Hebbal Kempapura,1800.0,3.0,150.0,3
2996,Hebbal Kempapura,2400.0,5.0,200.0,5
2997,Hebbal Kempapura,2800.0,5.0,220.0,5
2998,Hebbal Kempapura,1785.0,3.0,165.0,3
2999,Hebbal Kempapura,3729.0,4.0,384.0,4
3000,Hebbal Kempapura,1600.0,3.0,170.0,3
3001,Hebbal Kempapura,1730.0,3.0,175.0,3
3003,Hegde Nagar,1569.0,3.0,101.0,3
3004,Hegde Nagar,3000.0,7.0,210.0,6
3005,Hegde Nagar,2026.0,3.0,132.0,3
